colonyID	substrate	antweight_mg	antspeed_cm.s	seedweight_mg
A1	sand	4.55	0.63	6.06
A1	sand	2.10	0.19	5.04
A1	sand	2.36	0.45	9.06
A1	sand	6.64	0.81	26.58
A1	sand	5.84	0.56	19.51
A1	sand	3.81	0.33	30.34
A1	sand	5.42	0.99	7.54
A1	sand	1.52	0.40	4.50
A1	sand	2.30	0.71	6.38
A1	sand	3.54	0.64	7.48
A1	gravel	4.66	0.29	11.08
A1	gravel	8.75	0.72	10.35
A1	gravel	7.19	0.20	32.60
A1	gravel	16.27	0.45	13.27
A1	gravel	12.97	0.63	4.79
A1	gravel	3.23	0.22	3.71
A1	gravel	3.55	0.42	3.15
A1	gravel	6.03	0.74	5.98
A1	gravel	2.02	0.52	4.44
A1	gravel	7.43	0.48	3.42
A1	gravel	4.81	0.47	14.11
A1	gravel	2.66	0.28	6.58
A1	gravel	8.21	0.67	10.58
A1	gravel	5.69	0.15	29.58
A1	gravel	5.77	0.42	5.01
A1	gravel	3.36	0.37	14.14
A1	gravel	12.71	0.44	10.09
A1	gravel	27.76	0.79	18.39
A1	gravel	4.40	0.23	5.31
A1	gravel	3.63	0.56	2.77
A1	gravel	5.73	0.43	10.78
A1	gravel	5.10	0.62	4.47
A1	sand	5.04	0.81	13.07
A1	sand	3.42	0.86	2.45
A1	sand	5.23	1.40	9.54
A1	sand	3.97	0.89	6.28
A1	sand	1.43	0.73	2.53
A1	sand	19.18	2.01	2.51
A1	sand	5.00	0.46	19.66
A1	sand	7.79	0.52	17.30
A1	sand	11.84	0.89	3.11
A1	sand	4.47	0.60	1.81
A1	sand	12.94	0.66	13.06
A1	sand	10.90	1.17	2.41
A1	sand	6.99	0.88	12.62
A1	sand	1.70	0.62	4.85
A1	sand	6.64	0.49	15.64
B1	sand	22.08	0.63	19.00
B1	sand	5.65	0.36	20.30
B1	sand	13.18	0.38	17.80
B1	sand	22.32	0.98	9.10
B1	sand	12.56	0.99	15.80
B1	sand	5.12	0.59	11.70
B1	sand	16.24	0.89	14.80
B1	sand	9.24	1.00	11.30
B1	sand	9.97	0.73	8.10
B1	sand	26.28	0.94	12.40
B1	sand	7.86	0.25	21.00
B1	sand	17.62	0.82	11.20
B1	sand	22.94	1.27	15.00
B1	sand	24.90	1.81	3.60
B1	sand	16.09	0.83	11.60
B1	sand	12.23	0.86	12.00
B1	sand	8.60	1.19	6.90
B1	sand	27.39	1.14	15.70
B1	sand	16.85	1.01	18.60
C1	gravel	11.64	0.60	1.45
C1	gravel	9.37	0.54	18.68
C1	gravel	7.12	0.67	5.84
C1	gravel	7.60	0.75	2.53
C1	gravel	3.42	0.58	3.26
C1	gravel	8.73	0.62	11.63
C1	gravel	8.33	0.43	15.70
C1	gravel	3.45	0.54	3.53
C1	gravel	10.50	0.67	5.19
C1	gravel	3.40	0.79	3.07
C1	gravel	11.28	0.75	4.63
C1	gravel	10.38	0.55	9.00
C1	gravel	2.33	0.36	11.35
C1	gravel	9.76	0.60	8.99
C1	gravel	8.88	0.77	2.57
B1	gravel	8.73	0.56	17.40
B1	gravel	18.52	0.80	27.90
B1	gravel	22.95	0.60	24.10
B1	gravel	10.47	0.52	11.40
B1	gravel	20.10	0.47	9.00
B1	gravel	10.41	0.81	7.90
B1	gravel	9.22	0.46	10.20
B1	gravel	15.34	0.61	10.40
B1	gravel	9.30	0.47	15.90
B1	gravel	5.11	0.36	2.20
B1	gravel	5.37	0.24	23.90
B1	gravel	19.42	0.47	29.10
B1	gravel	8.12	0.30	22.10
B1	gravel	4.82	0.20	18.10
B1	gravel	8.38	0.76	5.30
B1	gravel	29.49	0.74	15.40
B1	gravel	16.77	0.53	13.50
B1	gravel	8.13	0.36	12.80
B1	gravel	3.29	0.41	6.70
C1	sand	15.42	1.83	5.60
C1	sand	3.18	0.44	14.13
C1	sand	5.44	0.96	1.92
C1	sand	5.00	1.00	11.05
C1	sand	9.18	0.64	17.20
C1	sand	3.37	1.06	2.62
C1	sand	1.78	0.50	2.23
C1	sand	7.03	1.55	2.30
C1	sand	3.09	0.43	12.20
C1	sand	4.74	0.51	21.85
C1	sand	11.18	1.95	8.25
C1	sand	6.15	0.57	12.06
C1	sand	4.62	0.54	5.45
C1	sand	15.63	0.95	10.71
C1	sand	7.57	0.30	25.56
C1	sand	3.67	0.24	26.29
C1	sand	2.94	0.85	5.92
C1	sand	5.11	0.45	14.02
B1	sand	8.26	0.63	16.10
B1	sand	14.85	0.82	4.70
B1	sand	18.13	0.94	15.40
B1	sand	20.99	0.88	35.20
B1	sand	13.53	0.61	7.90
B1	sand	17.68	1.27	26.00
B1	sand	14.14	1.09	29.10
B1	sand	4.12	0.64	8.00
B1	sand	21.63	2.19	13.20
B1	sand	17.89	0.89	16.70
B1	sand	7.95	0.46	13.00
B1	sand	6.25	0.80	13.50
B1	sand	12.56	1.16	31.50
B1	sand	8.79	0.75	13.50
B1	sand	5.44	0.76	5.00
B1	sand	7.67	1.05	4.90
B1	sand	4.97	0.77	10.00
B1	sand	2.83	0.97	4.60
C1	gravel	12.28	1.03	1.37
C1	gravel	2.39	0.63	1.66
C1	gravel	6.42	0.59	12.07
C1	gravel	3.67	0.43	5.88
C1	gravel	3.57	0.51	5.65
C1	gravel	8.69	0.48	19.59
C1	gravel	3.58	0.66	2.13
C1	gravel	4.12	0.38	17.18
C1	gravel	19.52	1.00	15.50
B1	gravel	4.77	0.50	6.60
B1	gravel	7.42	0.61	16.10
B1	gravel	5.92	0.53	9.70
B1	gravel	7.12	0.57	13.40
